listing,price_in_usd,vendor,origin,destination,drug category,type of product,description,num_feedback,average_ rating
1g Dank Vapes Carts,180,exoticpacks,US,US,cannabis,cartridge,"Have you been looking for the best dank carts at very affordable prices? Look no further our dank carts shop is here for you with dank vape cartridgesÄ Dank Vapes cartridges like other vape cartridges is made by the makers Dankwoods. Due to highly sold fake dank vapes, itês hard to get real dank vapes. Just be very careful where u get them from.",0,0
VAPE/Zkittlez flavor,15,alphajack420,US,US,cannabis,cartridge,70%THC 0.5G Cartridge only.,0,0
Brass Knuckles Vape Cartridge 1000mg (Free Shipping),50,waxthtazz,US,US,cannabis,cartridge,Brass Knuckle carts for the low!!!!,0,0
HEAVY HITTERS DANK VAPE CARTRIDGES BEST TOPSHELF QULITY,200,mary-jane,US,worldwide,cannabis,cartridge,fast shipping,0,0
"0.25mg Distillate, No battery needed. 16 New Flavours Now Available!!",100,thcdoctor42,US,worldwide,cannabis,vape pen,"New to the market are these Cookies, 0.25mg THC Distillate vape pens. A disposable vape pen filled with the best Delta 9 95% THC and .084% CBD oil that goes into all The THC Doctors vape products and edibles. We import the RAW product from a distillery in California, we import the best Delta 9 THC Distillate that we have had the pleasure to come across, but we package here in the U.K. at THC HQ.

Our Delta 9 Distillate is the best of the best and pesticide free. Please check out our ratings and feedback across the markets.

No battery or charging needed!

MIX N MATCH FLAVOURS ** 100 PENS PER ORDER ** ** Minimum 10 pens per flavour per order**

All Flavours are a mix of our THC Doctor Distillate and our Terpenes, specially designed straight from California and made from pure natural plant extracts.",0,0
THC Cartridge/ Vape Purple Vapor 1G,43,alphajack420,US,US,cannabis,cartridge,"prepackage, comes from legit dispensary. NO BS Fast Discreet shipping!",0,0
Jah Goo Flavored/VAPE,40,alphajack420,US,US,cannabis,cartridge,80%THC 5%CBD Indica Fast Discreet Shipping! Only 1 left,0,0
G13 Flavored VAPE/Cartridge,40,alphajack420,US,US,cannabis,cartridge,80%THC 5%CBD Indica Fast Discreet Shipping! Only 1 left,0,0
Strawberry Cough Flavored,40,alphajack420,US,US,Synthetic cannabinoid,cartridge,80%THC 5%CBD Sativa VAPE/ Cartridge Fast Discreet Shipping! 1left,0,0
Grape Cartridge/VAPE 1G,38,alphajack420,US,US,cannabis,cartridge,Buddies Grape 74.29% THC 2% CBD 1Gram Fast and Discreet Shipping! ONLY 1 Left,0,0
Maui Wowie VAPE THC 0.5g,15,alphajack420,US,US,cannabis,cartridge,Maui Wowie FLAVORED 76.9 %THC/ 0.21 CBD FAST FREE DISCREET SHIPPING!,0,0
